294	1484	18
445	1182	15
399	1185	13
287	1174	17
574	1297	19
531	1229	15
487	1182	18
266	1543	3
306	1132	14
330	1193	9
395	1175	13
356	1196	10
408	1170	13
869	1683	25
360	1205	11
416	1161	14
408	1212	13
472	1192	16
382	1198	13
461	1160	16
441	1208	14
306	1234	8
422	1221	14
341	1242	10
399	1217	13
413	1180	13
846	1617	23
369	1234	15
195	1230	3
291	1180	6
294	1243	9
317	1223	5
281	1209	6
190	1243	3
321	1198	8
299	1219	7
360	1171	10
294	1212	5
238	1206	5
326	1232	1
301	1220	7
370	1188	10
870	1744	25
507	1192	17
570	1175	16
371	1216	11
580	1427	19
285	1231	5
464	1145	14
331	1457	17
469	1264	17
269	1646	24
896	1669	24
903	1639	23
376	1183	11
379	1177	11
368	1155	11
559	1208	16
397	1203	13
583	1664	25
414	1166	13
428	1615	19
493	1331	16
462	1197	16
395	1203	13
878	1626	24
389	1352	12
331	1224	11
429	1152	11
440	1216	15
393	1211	12
588	1259	19
433	1226	15
827	1654	24
849	1435	23
394	1233	15
442	1150	15
415	1237	14
508	1078	16
477	1240	15
550	1122	17
523	1264	17
445	1182	15
486	1227	16
442	1197	15
422	1224	14
505	1164	16
389	1211	12
406	1195	13
495	1225	16
494	1187	16
270	1179	15
486	1129	16
428	1209	14
430	1162	15
357	1211	11
545	1283	17
337	1144	16
426	1205	14
407	1151	13
427	1189	15
433	1198	14
427	1199	14
574	1212	17
559	1710	16
554	1301	18
491	1096	15
540	1122	18
400	1315	14
468	1172	20
594	1300	19
517	1275	18
353	1239	14
563	1436	17
526	1114	18
554	1128	17
406	1260	16
249	1510	23
826	1710	16
530	1412	22
742	1473	23
759	1710	22
781	1710	23
729	1462	22
603	1513	23
267	1304	21
783	1710	23
269	1528	18
528	1401	18
266	1370	20
508	1231	13
513	1259	16
747	1774	22
785	1688	22
543	1422	19
737	1760	24
731	1329	21
740	1710	22
761	1601	24
664	1692	23
276	1465	22
358	1255	11
758	1710	23
317	1572	23
527	1241	18
670	1548	23
749	1568	23
819	1710	23
264	1448	21
523	1182	17
747	1761	24
510	1504	15
454	1150	14
525	1398	19
825	1884	25
801	1532	22
377	1684	26
745	1775	23
738	1562	24
746	1912	24
767	1602	22
739	1710	23
316	1538	23
567	1347	19
548	1569	22
562	1247	16
546	1299	19
252	1385	20
268	1146	16
555	1507	19
419	1212	13
822	1710	22
584	1350	17
251	1351	20
516	1124	18
460	1162	15
303	1191	16
866	1671	23
390	1143	12
339	1218	10
347	1212	11
489	1147	16
398	1207	13
529	1567	23
851	1674	24
338	1221	9
435	1157	14
350	1183	9
306	1164	7
800	1675	24
396	1368	20
452	1193	16
360	1289	18
277	1141	17
541	1099	17
435	1249	15
473	1252	18
528	1164	17
540	1252	16
346	1216	10
396	1496	12
830	1703	24
550	1712	22
500	1260	20
520	1269	18
294	1219	19
477	1124	16
518	1129	17
552	1424	18
542	1605	23
588	1584	24
558	1172	18
282	1158	17
561	1238	18
503	1218	17
261	1193	20
564	1254	19
507	1154	16
552	1414	20
575	1404	20
554	1218	17
575	1445	17
468	1234	17
572	1244	19
481	1165	17
342	1232	10
306	1182	7
354	1215	10
328	1192	10
350	1233	10
864	1620	23
478	1166	16
370	1208	11
435	1169	15
789	1643	24
528	1146	17
494	1184	17
408	1196	13
280	1568	23
263	1137	17
287	1162	17
550	1257	19
484	1178	17
549	1163	18
473	1151	15
290	1148	18
548	1199	18
563	1413	20
796	1653	23
413	1239	17
449	1177	14
506	1176	17
388	1214	12
482	1174	16
841	1708	24
603	1537	22
377	1202	11
320	1199	8
486	1163	16
414	1212	14
459	1171	16
471	1150	17
474	1231	18
471	1209	16
406	1537	16
531	1167	18
554	1234	19
546	1295	20
588	1348	19
418	1236	14
416	1230	14
762	1668	23
860	1645	24
862	1648	24
868	1300	19
446	1183	16
287	1146	18
458	1178	15
309	1239	18
470	1223	15
291	1142	18
466	1174	15
476	1175	14
519	1162	17
433	1200	15
438	1126	14
512	1218	17
764	1582	24
289	1188	17
566	1188	15
778	1492	24
500	1474	21
293	1154	18
595	1404	19
430	1199	15
390	1212	12
443	1158	15
396	1171	12
369	1226	11
415	1178	14
273	1163	5
416	1186	13
282	1237	6
370	1189	11
360	1206	13
391	1180	12
313	1168	7
378	1199	11
386	1178	11
362	1185	10
363	1205	11
328	1203	8
335	1181	9
667	1657	24
395	1230	12
384	1204	12
387	1180	12
259	1223	5
363	1187	10
419	1189	14
341	1212	9
438	1194	15
327	1228	9
391	1178	12
409	1212	13
338	1247	9
285	1185	6
336	1178	10
341	1174	8
344	1189	9
279	1226	6
816	1684	25
517	1613	17
302	1106	15
475	1407	15
504	1347	17
353	1290	19
494	1166	16
537	1261	18
501	1100	18
326	1185	17
551	1178	18
593	1202	18
290	1156	18
296	1297	20
424	1141	17
457	1159	14
411	1183	13
393	1228	13
439	1233	14
495	1139	14
544	1150	18
575	1259	19
499	1156	16
457	1167	16
407	1210	13
424	1197	14
483	1164	16
463	1220	16
391	1216	13
447	1195	15
450	1189	15
394	1170	12
395	1179	12
402	1194	13
398	1182	12
344	1162	9
411	1190	13
417	1180	14
382	1178	11
414	1173	14
505	1178	17
314	1191	7
465	1159	15
594	1250	20
523	1163	17
517	1253	18
480	1199	16
522	1164	18
460	1195	16
287	1166	16
350	1185	10
830	1714	24
425	1254	14
561	1276	18
473	1154	15
554	1257	18
372	1238	12
324	1200	8
383	1182	12
407	1201	13
364	1160	10
907	1571	15
317	1650	23
291	1403	20
830	1674	23
574	1478	22
586	1586	23
632	1350	28
593	1710	26
568	1378	20
818	1691	22
289	1573	20
865	1586	17
556	1552	22
567	1652	22
568	1590	22
816	1710	23
751	1610	22
311	1605	23
834	1676	22
781	1642	24
473	1619	23
596	1490	22
567	1347	21
518	1369	20
558	1353	20
277	1347	20
617	1393	21
419	1225	14
408	1205	13
436	1207	15
417	1183	14
474	1185	16
299	1168	16
486	1188	16
507	1158	18
490	1204	17
586	1444	21
386	1206	12
422	1164	14
442	1178	15
457	1160	16
290	1168	15
306	1159	7
450	1213	15
483	1223	17
471	1164	16
414	1207	13
845	1639	24
594	1470	22
370	1166	11
400	1161	12
309	1755	26
